"신청당시 부서명","성명","근무상황","기간","일수/기간","사유 또는 용무","목적지","연가신청구분","신청자","결재상태","삭제여부","첨부파일"
"여수한려초등학교","조경훈","조퇴","2026-05-22 15:40 ~ 2026-05-22 16:40","0일1시간0분","고향 방문","","금년도연가","조경훈","완결","미삭제","등록"
"여수한려초등학교","조경훈","조퇴","2026-05-19 16:10 ~ 2026-05-19 16:40","0일0시간30분","은행 방문","","금년도연가","조경훈","완결","미삭제","등록"
"여수한려초등학교","조경훈","조퇴","2026-05-13 15:10 ~ 2026-05-13 16:40","0일1시간30분","카센터 방문","","금년도연가","조경훈","완결","미삭제","등록"
"여수한려초등학교","조경훈","공가","2026-05-07 08:40 ~ 2026-05-07 16:40","1일0시간0분","예비군 훈련","순천 과학화 훈련장","","조경훈","완결","미삭제","등록"
"여수한려초등학교","조경훈","교육공무원법제41조연수","2026-05-04 08:40 ~ 2026-05-04 16:40","1일0시간0분","AI 융합 교육과정 설계에 대한 연구","전라남도 일원","","조경훈","완결","미삭제","등록"
"여수한려초등학교","조경훈","조퇴","2026-04-30 14:40 ~ 2026-04-30 16:40","0일2시간0분","고향 방문","","금년도연가","조경훈","완결","미삭제","등록"
"여수한려초등학교","조경훈","병조퇴","2026-04-27 14:40 ~ 2026-04-27 16:40","0일2시간0분","병원 진료","스노우의원","","조경훈","완결","미삭제","등록"
"여수한려초등학교","조경훈","조퇴","2026-04-24 14:40 ~ 2026-04-24 16:40","0일2시간0분","은행 방문","","금년도연가","조경훈","완결","미삭제","등록"
"여수한려초등학교","조경훈","병조퇴","2026-04-23 15:10 ~ 2026-04-23 16:40","0일1시간30분","피부과 진료","스노우의원","","조경훈","완결","미삭제","등록"
"여수한려초등학교","조경훈","조퇴","2026-04-17 15:10 ~ 2026-04-17 16:40","0일1시간30분","가족 행사 참여","","금년도연가","조경훈","완결","미삭제","등록"
"여수한려초등학교","조경훈","병지각","2026-04-15 08:40 ~ 2026-04-15 10:50","0일2시간10분","인후통으로 인한 병원 진료","다나연합이비인후과","","조경훈","완결","미삭제","등록"
"여수한려초등학교","조경훈","공가","2026-04-09 14:40 ~ 2026-04-09 16:40","0일2시간0분","교직원 결핵검진","여수교육지원청","","조경훈","완결","미삭제","등록"
"여수한려초등학교","조경훈","조퇴","2026-04-03 15:10 ~ 2026-04-03 16:40","0일1시간30분","가족 모임 참석","","금년도연가","조경훈","완결","미삭제","등록"
"여수한려초등학교","조경훈","조퇴","2026-03-27 14:40 ~ 2026-03-27 16:40","0일2시간0분","고향 방문","","금년도연가","조경훈","완결","미삭제","등록"
"여수한려초등학교","조경훈","병조퇴","2026-03-26 15:10 ~ 2026-03-26 16:40","0일1시간30분","피부과 예약 진료","스노우의원","","조경훈","완결","미삭제","등록"
"여수한려초등학교","조경훈","조퇴","2026-03-20 15:10 ~ 2026-03-20 16:40","0일1시간30분","은행 방문","","금년도연가","조경훈","완결","미삭제","등록"
"여수한려초등학교","조경훈","외출","2026-03-19 10:00 ~ 2026-03-19 10:30","0일0시간30분","학급 용품 구입","","금년도연가","조경훈","완결","미삭제","등록"
"여수한려초등학교","조경훈","조퇴","2026-03-18 14:10 ~ 2026-03-18 16:40","0일2시간30분","행정복지센터 방문","","금년도연가","조경훈","완결","미삭제","등록"
"여수한려초등학교","조경훈","조퇴","2026-03-13 15:10 ~ 2026-03-13 16:40","0일1시간30분","고향 방문","","금년도연가","조경훈","완결","미삭제","등록"
"여수한려초등학교","조경훈","조퇴","2026-03-10 15:10 ~ 2026-03-10 16:40","0일1시간30분","은행 방문","","금년도연가","조경훈","완결","미삭제","등록"
"여수한려초등학교","조경훈","조퇴","2026-03-06 15:10 ~ 2026-03-06 16:40","0일1시간30분","가족 모임 참석","","금년도연가","조경훈","완결","미삭제","등록"
"여수한려초등학교","조경훈","교육공무원법제41조연수","2026-02-26 08:40 ~ 2026-02-27 16:40","2일0시간0분","2022개정 교육과정 심층 연구","전라남도","","조경훈","완결","미삭제","등록"
